Development Name	Borough	Account Name	Location	Meter AMR	Meter Scope	TDS #	EDP	RC Code	Funding Source	AMP #	Vendor Name	UMIS BILL ID	Revenue Month	Service Start Date	Service End Date	# days	Meter Number	Estimated	Current Charges	Rate Class	Bill Analyzed	Consumption (KWH)	KWH Charges	Consumption (KW)	KW Charges	Other charges
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5424151	2016-10-01	09/22/2016	10/24/2016	32	7518362	Y	9678.76	GOV/NYC/068	Yes	93200	3338.42	156	2596.59	3743.75
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5501459	2016-11-01	10/24/2016	11/22/2016	29	7518362	N	8080.3	GOV/NYC/068	Yes	52800	1891.3	180	2640.6	3548.4
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5581811	2016-12-01	11/22/2016	12/23/2016	31	7518362	N	8812.68	GOV/NYC/068	Yes	74400	2665.01	144	2596.59	3551.08
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5658009	2017-01-01	12/23/2016	01/25/2017	33	7518362	N	9732.21	GOV/NYC/068	Yes	81200	3326.76	152	2534.64	3870.81
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5736150	2017-02-01	01/25/2017	02/24/2017	30	7518362	N	9581.43	GOV/NYC/068	Yes	74000	3031.78	140	2534.64	4015.01
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5801882	2017-03-01	02/24/2017	03/27/2017	31	7518362	N	9220.01	GOV/NYC/068	Yes	72000	2949.84	140	2534.64	3735.53
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5884108	2017-04-01	03/27/2017	04/25/2017	29	7518362	N	8749.79	GOV/NYC/068	Yes	65200	2671.24	136	2534.64	3543.91
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5951550	2017-05-01	04/25/2017	05/23/2017	28	7518362	N	10355.67	GOV/NYC/068	Yes	67200	2753.18	192	2749.44	4853.05
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	6019854	2017-06-01	05/23/2017	06/22/2017	30	7518362	N	12841.05	GOV/NYC/068	Yes	81600	3758.5	232	3322.24	5760.31
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	6087776	2017-07-01	06/22/2017	07/24/2017	32	7518362	N	15681.34	GOV/NYC/068	Yes	123200	5674.59	236	3379.52	6627.23
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	6188246	2017-08-01	07/24/2017	08/22/2017	29	7518362	N	12395.47	GOV/NYC/068	Yes	100800	4642.85	204	2921.28	4831.34
